"","IP0981_1701","IP0982_1701","IP0993_1701","IP0995_1701","IP0999_1701","IP7100_1701","IP7103_1701","IP7105_1701"
"TLL2",0.0383182234278417,1.14523310181922,1.99139308024092,0.129286739662812,2.7335437355125,0.0291488241769438,0.140018279277266,1.53002464212217
"TLN1",111.376601206533,180.829300300111,1063.43434922771,712.647380549808,547.211702844084,2587.65051001333,25.3083281453336,1392.19820387715
"TLN2",0.815276660474134,4.47988788814003,23.0476378193431,12.2349064681016,8.51368554292768,3.19329076343479,0.0767342700664781,21.3792255266389
"TLNRD1",139.606913491824,183.028693471358,1156.41993782695,619.500763369115,1256.80590387014,1461.84865485962,114.599517232602,1195.67290155117
"TLR1",1.54186747113692,0.458961668982887,29.1894096608279,1.13248819299562,18.3681852040955,119.800794312799,0.210737319071896,37.2682992368978
"TLR10",0.876470662652951,0.0941087697995044,1.3052694899012,0.502730140441972,3.30703334440025,9.37794106297979,0,3.69533222554993
"TLR12P",0,0,0,0,0,0,0,0
"TLR2",22.3567561330407,20.5426678929412,268.004355074731,11.3097289819122,129.527211369317,522.16907063075,0.628128268743362,197.373244786975
"TLR3",0.210770108209206,3.16832530910428,47.4229295852886,0.40298168026243,34.9086863917402,33.9194755165936,0,7.89521126914279
"TLR4",4.37075798154094,1.4272308994963,230.633500561127,4.28161763190424,37.0387734572828,563.143326315148,0,183.699046277766
"TLR5",0.755788908487877,3.39338805821903,41.8562484339907,8.9896063501133,14.4022650602128,36.1803455503117,2.26509616353811,24.1117630844534
"TLR6",1.29982252989664,0.820344370705114,23.0146101568429,0.956135814274543,13.6274732531512,55.132669826806,0.205456460545625,17.6603627754583
"TLR7",1.50297275038466,0.477926592886212,51.7117405845801,1.52522224239203,13.9955002973115,165.427388940511,0.299243554541097,63.5175756502099
"TLR8",1.72868465943515,0.122286240000516,83.9032181333702,1.39983109985897,16.338331393931,263.923964161126,0,87.8630821355481
"TLR8-AS1",0,0,0.954105616983622,0.139991569202116,0.402887310992923,0.526038690893509,0,1.66225018501894
"TLR9",0.0737272145583206,0.554138824142536,1.15286891200036,0,0.486818490128579,0.635625283454238,1.52663376598195,0.334756189140726
"TLX1",6.37963666796489,155.076633791556,473.107387925356,0,21.1193499448214,0.67074189065386,1.07398414882225,0
"TLX1NB",0.0563557742186612,0.024204221812804,2.1611178809473,0,0,0,0,0
"TLX2",0.822003422015902,2.47129374110134,0.714090445492762,19.2786435837547,5.02561376625275,1.37797869286161,20.8032332588287,0.829395931303889
"TLX3",0,0.175001295898352,0,0,1.53741017463643,0,0,0
"TM2D1",7.66005772817722,24.4544958225743,33.6609344605263,31.0603553610695,21.9343120638482,29.9303888620879,1.41338414663831,24.1395669919692
"TM2D2",70.4955325793679,82.4280118330126,288.222261734113,160.102992750095,366.691250195853,425.507158432833,9.56336259465864,433.894301372355
"TM2D3",6.4709347272093,12.3102189572795,55.1844675178498,54.2459256048348,44.8577642155607,46.2242964924393,4.50388285889269,45.7999243280101
